"Name","ID","logFC","logCPM","PValue","FDR","Direction","t"
"PDAP1","ENSG00000106244",-0.0165142934683491,4.82167290886915,0.250433378985196,0.524035069791248,"NONE",-1.15037917811244
"CCDC80","ENSG00000091986",0.0485930727316373,1.52914871505709,0.510090733499979,0.742883558040488,"NONE",0.659079301864813
"ARHGEF15","ENSG00000198844",-0.0301834766088939,1.50746811523133,0.505751579293007,0.739970172337224,"NONE",-0.665856653879721
"CLTA","ENSG00000122705",0.0163322960495913,5.75302313439293,0.270342263141334,0.544062933848335,"NONE",1.10326486613974
"TTC9C","ENSG00000162222",-0.0203837324158842,3.67442985010791,0.255378716761835,0.528590292107675,"NONE",-1.1384397924452
"PEX3","ENSG00000034693",-0.0261238956820828,2.98777350887006,0.308686962882827,0.577961481269337,"NONE",-1.01882163653236
"CYC1","ENSG00000179091",-0.0281015492224252,4.85832956975031,0.251396391080651,0.524797945352246,"NONE",-1.14804137265308
"PLP2","ENSG00000102007",0.0538317564621198,2.74593078648856,0.33168960394919,0.600315525812802,"NONE",0.97148076313184
"PLAT","ENSG00000104368",-0.0514007957549923,2.83739713439869,0.32247198682241,0.59166249534922,"NONE",-0.990184706915409
"ZDHHC2","ENSG00000104219",0.0361334453836015,3.20532625948752,0.284560991793886,0.556689511799808,"NONE",1.07106051824827
"TRIM52-AS1","ENSG00000248275",0.0478625251397693,3.38499923935995,0.267996390456115,0.541522635602679,"NONE",1.1086888520522
"UCKL1","ENSG00000198276",0.0223319810341391,3.51528366369405,0.262244637261074,0.535633300033372,"NONE",1.12212767877585
"VIPR1","ENSG00000114812",-0.0349520221046484,3.0456534327085,0.305560913710605,0.57501108698631,"NONE",-1.02543268673263
"MANSC1","ENSG00000111261",-0.0184345338249132,3.22694777227488,0.282579350421325,0.555169623377157,"NONE",-1.07548199214214
"REV3L","ENSG00000009413",0.0183536041804682,3.02647366538143,0.301021595136965,0.572181450088107,"NONE",1.03511313054764
"WTIP","ENSG00000142279",-0.0284245188177458,1.9055378812758,0.448224997407801,0.698279457678325,"NONE",-0.758861836002492
"PABPC1","ENSG00000070756",0.0269115913547413,5.24533839132988,0.256612604683684,0.529740385590567,"NONE",1.13548603175699
"SFR1","ENSG00000156384",-0.0365802433513189,2.58174000834592,0.350734917224909,0.616430033975057,"NONE",-0.933872612936573
"FGD2","ENSG00000146192",-0.0468474985261915,1.37523422748132,0.536081692929155,0.761986493635356,"NONE",-0.619095900234134
"MET","ENSG00000105976",-0.0498280693258675,2.13085805914513,0.428782982646178,0.682768652543181,"NONE",-0.791797614702014
"SCAI","ENSG00000173611",-0.0331498329329474,3.50124677133136,0.264725936993228,0.53844841950146,"NONE",-1.11630546426216
"ATP2B1","ENSG00000070961",0.0280989521216393,5.85373825898961,0.276474925254868,0.549699952570095,"NONE",1.08923631035504
"MRPL37","ENSG00000116221",-0.0255741364864965,4.08733438962614,0.250168378885074,0.523892469872529,"NONE",-1.151023595123
"DNAH17","ENSG00000187775",0.0251637898905672,1.58962807241398,0.502090286046805,0.737607290867466,"NONE",0.671599147179135
"SELENOK","ENSG00000113811",-0.0300384083425982,4.63538720040565,0.251498881123612,0.524941745327625,"NONE",-1.14779293716191
"AGAP12P","ENSG00000265018",-0.112837388269988,2.16396283815699,0.42225953553112,0.677308982529274,"NONE",-0.803042259021007
"PLRG1","ENSG00000171566",-0.025119292990313,3.88298101971946,0.249586249443336,0.522926329094353,"NONE",-1.15244087503688
"ALK","ENSG00000171094",0.0222167033420569,1.39454639399963,0.541070951762753,0.765308704951645,"NONE",0.61153462036155
"ADD3","ENSG00000148700",0.0458458143554012,5.1165817986603,0.257710558670218,0.530464703780138,"NONE",1.13286597943426
"KIAA1429","ENSG00000164944",0.0156452537558436,3.09117411816136,0.292645716713552,0.564369504488294,"NONE",1.0532346915922
"OTUD1","ENSG00000165312",0.0295308961338212,2.91259545984728,0.31264230136418,0.581999082975319,"NONE",1.01052005795292
"LINGO1","ENSG00000169783",-0.0405555605442078,4.99082817966131,0.25319508947195,0.526040295336578,"NONE",-1.14369157253371
"FAIM","ENSG00000158234",-0.0231521694072809,2.71155144313886,0.33952962953976,0.606702395680691,"NONE",-0.955835616062933
"PLEKHG4","ENSG00000196155",0.0206479393151037,0.700025513346381,0.655335261556875,0.834174716491195,"NONE",0.446579682249575
"MT-CO2","ENSG00000198712",-0.0231396549130718,10.7966785884535,0.599343357045877,0.800816233035125,"NONE",-0.525616749825986
