"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"GAS2","ENSG00000148935",2.241420845,0.09094902,2.31e-07,1.51e-06,"UP"
"DNAJC22","ENSG00000178401",-1.071013845,2.615318718,2.34e-07,1.53e-06,"DOWN"
"CFAP97","ENSG00000164323",-0.651449953,6.482651531,2.35e-07,1.54e-06,"NONE"
"PAPLN","ENSG00000100767",-1.456725776,0.859169278,2.35e-07,1.54e-06,"DOWN"
"CASQ2","ENSG00000118729",2.868279571,-1.001994425,2.36e-07,1.54e-06,"UP"
"MORN3","ENSG00000139714",1.496164314,1.148922725,2.36e-07,1.54e-06,"UP"
"PSMB5","ENSG00000100804",-0.533210426,5.972031762,2.36e-07,1.54e-06,"NONE"
"GRIN2C","ENSG00000161509",1.001574913,2.458941047,2.37e-07,1.55e-06,"UP"
"PRKAR1B","ENSG00000188191",0.668234816,4.667018593,2.39e-07,1.56e-06,"NONE"
"AC004538.3","ENSG00000230333",2.696734063,-0.758880963,2.4e-07,1.57e-06,"UP"
"ATP1A1-AS1","ENSG00000203865",1.179771017,1.526257824,2.4e-07,1.56e-06,"UP"
"ZWINT","ENSG00000122952",-0.952633144,2.714354976,2.4e-07,1.56e-06,"NONE"
"LDHAP7","ENSG00000235847",-1.694402945,0.82579253,2.41e-07,1.57e-06,"DOWN"
"PTRF","ENSG00000177469",-1.003854625,4.681419061,2.42e-07,1.57e-06,"DOWN"
"TRDMT1","ENSG00000107614",0.681984217,4.783888245,2.43e-07,1.58e-06,"NONE"
"ZNF74","ENSG00000185252",-0.542794806,5.490582789,2.44e-07,1.59e-06,"NONE"
"IDH1","ENSG00000138413",-0.509845694,7.849644931,2.45e-07,1.6e-06,"NONE"
NA,"ENSG00000232274",-2.860301794,-0.744981286,2.45e-07,1.6e-06,"DOWN"
"ZNF518A","ENSG00000177853",0.514962183,6.79576645,2.49e-07,1.62e-06,"NONE"
"TROAP","ENSG00000135451",-2.178091958,-0.381001083,2.5e-07,1.63e-06,"DOWN"
